transaction_id,account_id,transaction_type,amount,balance_after,merchant_name,merchant_category,description,status,created_at,reference_id
1,1,credit,3714.72,8538.27,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100001
2,1,credit,7991.56,16529.83,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100002
3,1,credit,4243.65,20773.480000000003,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100003
4,1,credit,3872.68,24646.160000000003,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100004
5,1,credit,3306.32,27952.480000000003,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100005
6,1,credit,6074.67,34027.15,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100006
7,1,debit,87.25,33939.9,Starbucks,Dining,Purchase at Starbucks,completed,2025-03-23 15:00:00,TXN100007
8,1,debit,58.48,33881.42,Netflix,Streaming,Purchase at Netflix,completed,2025-02-07 14:00:00,TXN100008
9,1,debit,186.87,33694.549999999996,Target,Shopping,Purchase at Target,completed,2025-02-28 11:00:00,TXN100009
10,1,debit,247.6,33694.549999999996,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-28 21:00:00,TXN100010
11,1,debit,331.59,33362.96,Amazon,Shopping,Purchase at Amazon,completed,2025-02-26 10:00:00,TXN100011
12,1,debit,50.39,33312.57,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-01-23 08:00:00,TXN100012
13,1,debit,108.11,33204.46,Amazon,Shopping,Purchase at Amazon,completed,2025-02-21 21:00:00,TXN100013
14,1,debit,331.78,32872.68,Netflix,Streaming,Purchase at Netflix,completed,2025-01-29 21:00:00,TXN100014
15,1,debit,53.45,32819.23,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-03 08:00:00,TXN100015
16,1,debit,264.44,32819.23,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-02 22:00:00,TXN100016
17,1,debit,173.99,32645.24,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-17 11:00:00,TXN100017
18,1,debit,103.86,32541.38,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-20 09:00:00,TXN100018
19,1,debit,320.84,32220.54,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-01-11 11:00:00,TXN100019
